Class,AntiSingleton,ClassDataShouldBePrivate,RefusedParentBequest,ComplexClass,LazyClass,LongParameterList,SpeculativeGenerality
org.apache.xml.utils.Hashtree2Node,0,0,0,0,0,0,0
org.apache.xml.utils.NameSpace,0,0,0,0,0,0,0
org.apache.xalan.processor.StylesheetHandler,0,0,0,11,0,0,0
org.apache.xalan.templates.Stylesheet,0,0,0,6,0,0,0
org.apache.xml.res.XMLMessages,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_de,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.dom2dtm.DOM2DTMdefaultNamespaceDeclarationNode,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.util.MethodType,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.BooleanExpr,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_ja_JP_I,0,0,0,0,0,0,0
org.apache.xml.utils.res.XResources_cy,0,0,0,0,0,0,0
org.apache.xpath.objects.GreaterThanOrEqualComparator,0,0,1,0,0,0,0
org.apache.xml.utils.res.XResources_ja_JP_A,0,0,0,0,0,0,0
org.apache.xpath.XPathAPI,0,0,0,0,0,0,0
org.apache.xalan.processor.TransformerFactoryImpl,1,1,0,0,0,0,0
org.apache.xalan.xsltc.compiler.NamespaceUriCall,0,0,0,0,0,0,0
org.apache.xalan.serialize.SerializerFactory,0,0,0,0,0,0,0
org.apache.xpath.patterns.FunctionPattern,0,0,0,0,0,0,0
org.apache.xpath.axes.UnionChildIterator,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.SyntaxTreeNode,0,0,0,0,0,0,0
org.apache.xalan.xsltc.runtime.SecuritySupport12,0,0,0,0,0,0,0
org.apache.xalan.xsltc.dom.MultipleNodeCounter,0,0,0,0,0,0,1
org.apache.xalan.lib.ObjectFactory,0,0,0,0,0,0,0
org.apache.xml.serializer.OutputPropertiesFactory,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.FilterExpr,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.ParameterRef,0,0,0,0,0,0,0
org.apache.xml.utils.synthetic.SynthesisException,0,0,0,0,0,0,0
org.apache.xalan.extensions.ExtensionsTable,0,3,0,0,0,3,0
org.apache.xpath.functions.FuncCurrent,0,0,0,0,0,0,0
org.apache.xml.dtm.ref.DTMAxisIteratorBase,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.KeyCall,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.Fallback,0,0,0,0,0,0,0
org.apache.xalan.templates.ElemTemplate,0,6,0,0,0,0,0
